SOURCE_NUMBER,NAME,RA,DEC,Uncert (arcmin),REDSHIFT,REDSHIFT_FLAG,FLUX_1P4_GHZ,RMAG,XRAY_FLUX,OBJECT_TYPE,LII,BII,FLUX_143_GHZ,GR_PHOTON_FLUX,RO_SPECTRAL_INDEX
1363,[MML2015] 5BZG J0948+5535,147.133333,55.593139,0.016666667,0.118,,31,16.1,,BL LAC-GALAXY DOMINATED,159.052842,46.658646,0,,0.266
2969,[MML2015] 5BZB J1903+5540,285.798333,55.677358,0.016666667,,,261,16.4,9.40E-13,BL LAC,85.966087,20.539765,0,3.50E-09,0.45
2213,[MML2015] 5BZB J1351+5542,207.992458,55.703078,0.016666667,,,87,19.2,,BL LAC,106.13155,59.406834,0,,0.66
2491,[MML2015] 5BZB J1520+5542,230.145708,55.715828,0.016666667,,,59,18.6,3.70E-13,BL LAC,90.205199,50.861716,0,,0.547
2235,[MML2015] 5BZQ J1359+5544,209.773917,55.7415,0.016666667,1.014,,128,20,2.60E-13,QSO RLOUD FLAT RADIO SP.,104.449944,58.892472,0,5.00E-10,0.742
1308,[MML2015] 5BZG J0927+5545,141.919292,55.763328,0.016666667,0.221,,78,17.4,1.80E-13,BL LAC-GALAXY DOMINATED,160.200516,43.82751,0,,0.386
1451,[MML2015] 5BZQ J1015+5551,153.935042,55.850139,0.016666667,0.677,,133,19.5,,QSO RLOUD FLAT RADIO SP.,156.209551,49.999458,0,2.00E-10,0.672
1105,[MML2015] 5BZQ J0824+5552,126.196792,55.878578,0.016666667,1.417,,1449,18.1,6.40E-13,QSO RLOUD FLAT RADIO SP.,161.957998,35.117575,263,8.00E-10,0.769
1070,[MML2015] 5BZB J0812+5554,123.214292,55.906078,0.016666667,0.383,,27,18.3,6.80E-13,BL LAC,161.970306,33.445073,0,,0.43
2467,[MML2015] 5BZB J1509+5556,227.44975,55.938139,0.016666667,,,31,17.7,5.00E-13,BL LAC,91.829741,52.009251,0,4.00E-10,0.433
2059,[MML2015] 5BZQ J1309+5557,197.290625,55.960639,0.016666667,1.629,,266,17.7,5.30E-13,QSO RLOUD FLAT RADIO SP.,117.815428,60.991185,0,,0.62
1351,[MML2015] 5BZB J0944+5557,146.17275,55.964689,0.016666667,,,29,19.8,2.00E-14,BL LAC,158.838661,46.019888,0,,0.652
2219,[MML2015] 5BZB J1353+5600,208.366833,56.015828,0.016666667,0.404,?,15,18.4,2.04E-12,BL LAC,106.047693,59.032514,0,,0.397
2774,[MML2015] 5BZB J1714+5601,258.614208,56.032219,0.016666667,0.401,,6,19.3,3.40E-13,BL LAC,84.126272,35.617246,0,,0.466
743,[MML2015] 5BZQ J0514+5602,78.577917,56.036419,0.016666667,2.19,,325,,9.00E-14,QSO RLOUD FLAT RADIO SP.,154.07032,10.004652,0,,
